,sample,plate,batch,well,row,col,replicate,region,sort,cm.from.mouth,Paired DNA,prior_cell_type,n_counts,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt,total_counts_ribo,pct_counts_ribo,_scvi_batch,_scvi_labels,leiden,S_score,G2M_score,phase,esophageal_diff_score,basal_epithelial_score,cd8_score,cd4_score,cd8_cd4_score,leiden2,leiden3,cell_type,Cell Type,dpt_pseudotime,Diffusion Pseudotime,% MT,% ribo
cu01_p1r3L22,cu01,p1,cu01_p1,L22,L,22,3,B,EPCAM+,25.0,True,Suprabasal Epithelial,1475850.0,7688,1475850.0,104385.0,7.0728736,202553.0,13.724499,0,0,0,-0.22927608327419383,-0.19876786662300197,G1,1.030832822511082,0.4175923631303013,-0.0388449374679476,-0.06547292737290263,0.026627989904955025,0,0,Suprabasal Epithelial,Suprabasal Epithelial,0.75864714,0.75864714,7.0728736,13.724499
cu03_p2r3L14,cu03,p2,cu03_p2,L14,L,14,3,A,EPCAM+,30.0,True,,622100.0,7302,622100.0,29263.0,4.703906,63468.0,10.202219,0,0,0,0.05110145666216165,-0.2332778121843668,S,0.7214391675337273,0.5953416833952069,-0.055267772767692805,-0.07161918994039297,0.016351417172700167,0,0,Suprabasal Epithelial,Suprabasal Epithelial,0.6502303,0.6502303,4.703906,10.202219
cu02_p1r2G21,cu02,p1,cu02_p1,G21,G,21,2,,EPCAM+,,False,Terminally Differentiated Epithelial,675712.0,2246,675712.0,0.0,0.0,20109.0,2.975972,0,0,11,-0.15083359281867098,-0.07845830923882773,G1,1.8587966181727895,-0.2794764577448368,-0.07004043371416628,-0.03688732644543052,-0.033153107268735764,11,11,Terminally Differentiated Epithelial,Terminally Differentiated Epithelial,0.93631995,0.93631995,0.0,2.975972
cu01_p1r3J5,cu01,p1,cu01_p1,J5,J,5,3,B,EPCAM+,25.0,True,Basal Epithelial,1301120.0,6954,1301120.0,185912.0,14.288613,168910.0,12.981894,0,0,9,-0.15788202245846414,-0.2380463565017895,G1,0.4686981947015533,1.1820010415893047,-0.10883470814209431,-0.1522298008731256,0.04339509273103129,9,9,Basal Epithelial,Basal Epithelial,0.09993471,0.09993471,14.288613,12.981894
cu03_p3r1A20,cu03,p3,cu03_p3,A20,A,20,1,B,EPCAM+,27.0,True,,752562.0,4841,752562.0,48718.0,6.4736195,84077.0,11.172102,0,0,2,0.021580123601451173,-0.1533979641274897,S,0.7779986099977703,0.9687541664466262,-0.08197488551959395,-0.07928477230171363,-0.002690113217880319,2,2,Suprabasal Epithelial,Suprabasal Epithelial,0.28139278,0.28139278,6.4736195,11.172102
cu02_p1r2E23,cu02,p1,cu02_p1,E23,E,23,2,3,CD45+,24.0,True,CD4+ T Cell,378505.0,3280,378505.0,7170.0,1.8942946,26733.0,7.062787,0,0,7,-0.12150409061518558,-0.14247500823790227,G1,-0.3400162214952357,-0.2630572861731052,-0.08054894834756851,1.7600071669618287,-1.8405561153093972,7,t0,CD4+ T Cell,CD4+ T Cell,,,1.8942946,7.062787
cu03_p2r2F3,cu03,p2,cu03_p2,F3,F,3,2,A,EPCAM+,30.0,True,,849111.0,9018,849111.0,35420.0,4.1714215,68611.0,8.080334,0,0,1,-0.1158831380409528,1.0188640709659391,G2M,0.6658892585192533,1.1727672132104636,-0.11536997385323047,-0.12531691358735164,0.009946939734121168,1,1,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.5951452,0.5951452,4.1714215,8.080334
cu03_p1r4M5,cu03,p1,cu03_p1,M5,M,5,4,,EPCAM+,,False,,291453.0,9359,291453.0,30886.0,10.597249,55020.0,18.87783,0,0,4,-0.04253942432384075,-0.11752049577969978,G1,0.7906425072463119,0.793160617828369,-0.057950306497514245,0.07990078176061312,-0.13785108825812736,4,4,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.43545678,0.43545678,10.597249,18.87783
cu03_p3r2H5,cu03,p3,cu03_p3,H5,H,5,2,B,EPCAM+,27.0,True,,876716.0,3890,876716.0,131843.0,15.038279,68254.0,7.785189,0,0,4,0.24615620675066635,-0.0937933330219444,S,0.5638259845064844,0.5414354274123907,-0.042063747933134436,-0.0717415815219283,0.02967783358879387,4,4,Proliferative Basal Epithelial,Proliferative Basal Epithelial,0.38379973,0.38379973,15.038279,7.785189
cu03_p4r1A12,cu03,p4,cu03_p4,A12,A,12,1,,EPCAM+,,False,,295960.0,1080,295960.0,18690.0,6.315043,76571.0,25.872078,0,0,2,-0.10398052041040083,0.029074437609249437,G2M,0.7214670094602248,0.6853766268491744,0.0,-0.018083182871341707,0.018083182871341707,2,2,Suprabasal Epithelial,Suprabasal Epithelial,0.35456425,0.35456425,6.315043,25.872078
