,cell_type
cu02_p2r2H10,Proliferative Basal Epithelial
cu02_p2r4O3,Suprabasal Epithelial
cu02_p2r3I18,Suprabasal Epithelial
cu02_p2r1A18,Suprabasal Epithelial
cu02_p2r2E6,Basal Epithelial
cu02_p2r4N17,Suprabasal Epithelial
cu02_p2r4M5,Suprabasal Epithelial
cu02_p2r1D21,Suprabasal Epithelial
cu02_p2r3K13,Suprabasal Epithelial
cu02_p2r2F18,Proliferative Basal Epithelial
cu02_p2r4O11,Suprabasal Epithelial
cu02_p2r3J20,Suprabasal Epithelial
cu02_p2r2F12,Suprabasal Epithelial
cu02_p2r3L5,Suprabasal Epithelial
cu02_p2r3L16,Suprabasal Epithelial
cu02_p2r2E24,CD8+ T Cell
cu02_p2r1C11,Proliferative Basal Epithelial
cu02_p2r3L24,Mast Cell
cu02_p2r2G18,Basal Epithelial
cu02_p2r3K5,Suprabasal Epithelial
cu02_p2r4O22,Macrophage
cu02_p2r2F4,Proliferative Basal Epithelial
cu02_p2r4N18,Basal Epithelial
cu02_p2r3K4,Suprabasal Epithelial
cu02_p2r4N7,Basal Epithelial
cu02_p2r1C21,Suprabasal Epithelial
cu02_p2r1C5,Suprabasal Epithelial
cu02_p2r1C12,Proliferative Basal Epithelial
cu02_p2r1B2,Proliferative Basal Epithelial
cu02_p2r1D23,CD8+ T Cell
cu02_p2r3L4,Suprabasal Epithelial
cu02_p2r2G7,Suprabasal Epithelial
cu02_p2r1D11,Basal Epithelial
cu02_p2r1B8,Proliferative Basal Epithelial
cu02_p2r3I6,Basal Epithelial
cu02_p2r4N8,Suprabasal Epithelial
cu02_p2r4N20,Basal Epithelial
cu02_p2r2E11,Proliferative Basal Epithelial
cu02_p2r4M9,Suprabasal Epithelial
cu02_p2r2G15,Suprabasal Epithelial
cu02_p2r1D22,CD8+ T Cell
cu02_p2r2E1,Proliferative Basal Epithelial
cu02_p2r2F24,CD8+ T Cell
cu02_p2r4M14,Suprabasal Epithelial
cu02_p2r3K22,CD8+ T Cell
cu02_p2r1D3,Basal Epithelial
cu02_p2r1C7,Proliferative Basal Epithelial
cu02_p2r1B16,Basal Epithelial
cu02_p2r3I7,Proliferative Basal Epithelial
cu02_p2r2H11,Basal Epithelial
cu02_p2r1B7,Basal Epithelial
cu02_p2r3I16,Suprabasal Epithelial
cu02_p2r1D18,Suprabasal Epithelial
cu02_p2r3K12,Proliferative Basal Epithelial
cu02_p2r4O1,Suprabasal Epithelial
eso29_p1C5,Proliferative Basal Epithelial
eso29_p1B4,Basal Epithelial
eso29_p2B5,Proliferative Basal Epithelial
eso29_p2F1,Proliferative Basal Epithelial
eso29_p1F5,Suprabasal Epithelial
eso29_p2D8,Basal Epithelial
eso29_p2B9,Basal Epithelial
eso29_p2B10,Proliferative Basal Epithelial
eso29_p1A4,Basal Epithelial
eso29_p2B7,Suprabasal Epithelial
eso29_p2E10,Basal Epithelial
eso29_p2H2,CD8+ T Cell
eso29_p2G7,Basal Epithelial
eso29_p1B5,Basal Epithelial
eso29_p2F3,Basal Epithelial
eso29_p2A7,Proliferative Basal Epithelial
eso29_p2G5,Basal Epithelial
eso29_p2E8,Proliferative Basal Epithelial
eso29_p2A8,Terminally Differentiated Epithelial
eso29_p2B8,Basal Epithelial
eso29_p2A2,Basal Epithelial
eso29_p2H3,CD8+ T Cell
eso29_p2B3,Basal Epithelial
eso29_p2D7,Basal Epithelial
eso29_p2C5,Basal Epithelial
eso29_p2A5,Suprabasal Epithelial
eso29_p2D5,Proliferative Basal Epithelial
eso29_p1E5,Basal Epithelial
eso29_p2E1,Basal Epithelial
eso29_p2D12,CD4+ T Cell
eso29_p2A4,Basal Epithelial
eso29_p2C1,Proliferative Basal Epithelial
eso29_p2E4,Basal Epithelial
eso29_p2D10,Suprabasal Epithelial
eso29_p2C3,Suprabasal Epithelial
eso29_p2D11,Suprabasal Epithelial
eso29_p2F12,Basal Epithelial
eso29_p1E4,Basal Epithelial
eso29_p2F5,Basal Epithelial
eso29_p2F9,Basal Epithelial
eso29_p1G5,Terminally Differentiated Epithelial
eso29_p2D2,Proliferative Basal Epithelial
eso29_p2C7,Proliferative Basal Epithelial
eso29_p2B11,Proliferative Basal Epithelial
eso29_p2G1,Basal Epithelial
eso29_p2A6,Terminally Differentiated Epithelial
eso29_p2G12,Mast Cell
eso29_p2E9,Proliferative Basal Epithelial
eso29_p2A3,Basal Epithelial
eso29_p2C12,Basal Epithelial
eso29_p2C8,Basal Epithelial
eso29_p2F7,Proliferative Basal Epithelial
eso29_p2A10,Proliferative Basal Epithelial
eso29_p2H8,Mast Cell
eso29_p2C9,Basal Epithelial
eso29_p2E6,Proliferative Basal Epithelial
eso29_p2B6,Basal Epithelial
eso29_p1A5,Basal Epithelial
eso29_p2F4,Basal Epithelial
eso29_p2E3,Suprabasal Epithelial
eso29_p1D5,Proliferative Basal Epithelial
eso29_p2D6,Basal Epithelial
eso29_p1H4,Basal Epithelial
eso29_p1D4,Suprabasal Epithelial
eso29_p2G6,Proliferative Basal Epithelial
eso29_p2G2,Basal Epithelial
eso29_p2C6,Proliferative Basal Epithelial
eso29_p2D9,Basal Epithelial
eso29_p2F11,Terminally Differentiated Epithelial
eso29_p1F4,Basal Epithelial
eso29_p2E7,Basal Epithelial
eso29_p2H1,CD4+ T Cell
eso29_p2D1,Basal Epithelial
eso29_p2B1,Proliferative Basal Epithelial
eso29_p2G4,Basal Epithelial
eso29_p2H6,Mast Cell
eso29_p2C11,Basal Epithelial
eso29_p2F10,Basal Epithelial
eso29_p2D4,Basal Epithelial
eso29_p2C2,Proliferative Basal Epithelial
eso29_p2G8,Basal Epithelial
eso29_p2H4,Macrophage
eso29_p2D3,Basal Epithelial
eso29_p2H7,CD8+ T Cell
eso29_p2E11,Basal Epithelial
eso29_p2B12,CD4+ T Cell
eso29_p2F8,Basal Epithelial
eso29_p1C4,Basal Epithelial
eso29_p2A9,Basal Epithelial
eso29_p2G3,Basal Epithelial
eso29_p2C10,Proliferative Basal Epithelial
eso29_p2E12,Proliferative Basal Epithelial
eso29_p2B4,Basal Epithelial
eso29_p2E5,Basal Epithelial
