,cell_type
cu01_p1r1D5,Basal Epithelial
cu01_p1r1C10,Basal Epithelial
cu01_p1r4M16,Proliferative Basal Epithelial
cu01_p1r1D11,Proliferative Basal Epithelial
cu01_p1r2G11,Basal Epithelial
cu01_p1r2F11,Basal Epithelial
cu01_p1r2F20,Basal Epithelial
cu01_p1r3L23,Proliferative Basal Epithelial
cu01_p1r2F21,Proliferative Basal Epithelial
cu01_p1r1A17,Suprabasal Epithelial
cu01_p1r4O13,Basal Epithelial
cu01_p1r3L16,Basal Epithelial
cu01_p1r3K1,Terminally Differentiated Epithelial
cu01_p1r4N20,Suprabasal Epithelial
cu01_p1r1C22,Suprabasal Epithelial
cu01_p1r2H1,Basal Epithelial
cu01_p1r4O8,Basal Epithelial
cu01_p1r2E16,Suprabasal Epithelial
cu01_p1r4N2,Terminally Differentiated Epithelial
cu01_p1r4N8,Suprabasal Epithelial
cu01_p1r2E6,Proliferative Basal Epithelial
cu01_p1r4N3,Proliferative Basal Epithelial
cu01_p1r2F9,Basal Epithelial
cu01_p1r2G17,Basal Epithelial
cu01_p1r4N15,Basal Epithelial
cu01_p1r4O15,Basal Epithelial
cu01_p1r2H12,Basal Epithelial
cu01_p1r3L11,Suprabasal Epithelial
cu01_p1r3J3,Terminally Differentiated Epithelial
cu01_p1r3J18,Basal Epithelial
cu01_p1r3I13,Proliferative Basal Epithelial
cu01_p1r1A24,Basal Epithelial
cu01_p1r4O17,Basal Epithelial
cu01_p1r1D14,Basal Epithelial
cu01_p1r2E19,Basal Epithelial
cu01_p1r3L7,Suprabasal Epithelial
cu01_p1r3I22,Proliferative Basal Epithelial
cu01_p1r3L22,Suprabasal Epithelial
cu01_p1r3J12,Proliferative Basal Epithelial
cu01_p1r1C17,Basal Epithelial
cu01_p1r1C2,Proliferative Basal Epithelial
cu01_p1r3J10,Basal Epithelial
cu01_p1r2E5,Basal Epithelial
cu01_p1r1D10,Terminally Differentiated Epithelial
cu01_p1r2H22,Proliferative Basal Epithelial
cu01_p1r4O1,Terminally Differentiated Epithelial
cu01_p1r3J19,Basal Epithelial
cu01_p1r3L17,Suprabasal Epithelial
cu01_p1r1D1,Basal Epithelial
cu01_p2r1B9,Basal Epithelial
cu01_p2r2F24,CD4+ T Cell
cu01_p2r1B21,CD8+ T Cell
cu01_p2r1A6,Basal Epithelial
cu01_p2r2F14,Basal Epithelial
cu01_p2r2F18,Proliferative Basal Epithelial
cu01_p2r1D19,Proliferative Basal Epithelial
cu01_p2r4O6,Basal Epithelial
cu01_p2r2G10,Basal Epithelial
cu01_p2r2F12,Proliferative Basal Epithelial
cu01_p2r2F1,Proliferative Basal Epithelial
cu01_p2r1C2,Basal Epithelial
cu01_p2r3K16,Proliferative Basal Epithelial
cu01_p2r2E22,CD4+ T Cell
cu01_p2r3J19,Proliferative Basal Epithelial
cu01_p2r3I12,Basal Epithelial
cu01_p2r4M1,Suprabasal Epithelial
cu01_p2r3I22,CD4+ T Cell
cu01_p2r4M4,Basal Epithelial
cu01_p2r4M16,Basal Epithelial
cu01_p2r2G3,Terminally Differentiated Epithelial
cu01_p2r3I16,Basal Epithelial
cu01_p2r2G24,CD4+ T Cell
cu01_p2r2E13,Basal Epithelial
cu01_p2r2G14,Suprabasal Epithelial
cu01_p2r3I10,Proliferative Basal Epithelial
cu01_p2r2F8,Terminally Differentiated Epithelial
cu01_p2r3J14,Basal Epithelial
cu01_p2r3J21,Proliferative Basal Epithelial
cu01_p2r4M19,Proliferative Basal Epithelial
cu01_p2r1B15,Basal Epithelial
cu01_p2r3J7,Suprabasal Epithelial
cu01_p2r2E15,Proliferative Basal Epithelial
cu01_p2r1C22,CD8+ T Cell
cu01_p2r4N12,Proliferative Basal Epithelial
cu01_p2r2G9,Terminally Differentiated Epithelial
cu01_p2r3J23,CD4+ T Cell
cu01_p2r4N1,Suprabasal Epithelial
cu01_p2r4O16,Basal Epithelial
cu01_p2r3L10,Suprabasal Epithelial
cu01_p2r4N14,Proliferative Basal Epithelial
cu01_p2r2H17,Suprabasal Epithelial
cu01_p2r2H12,Proliferative Basal Epithelial
cu01_p2r1A14,Proliferative Basal Epithelial
cu01_p2r3L13,Proliferative Basal Epithelial
cu01_p2r2E4,Terminally Differentiated Epithelial
cu01_p2r1C11,Basal Epithelial
cu01_p2r4O14,Suprabasal Epithelial
cu01_p2r3L19,Proliferative Basal Epithelial
cu01_p2r2G13,Proliferative Basal Epithelial
cu01_p2r4N7,Suprabasal Epithelial
cu01_p2r4M20,Basal Epithelial
cu01_p2r2F21,CD8+ T Cell
cu01_p2r4O1,Basal Epithelial
cu01_p2r3K20,Basal Epithelial
cu01_p2r2H22,CD8+ T Cell
cu01_p2r2F17,Suprabasal Epithelial
cu01_p2r3I11,Terminally Differentiated Epithelial
cu01_p2r3K18,Basal Epithelial
cu01_p2r4N4,Suprabasal Epithelial
cu01_p2r3K12,Basal Epithelial
cu01_p2r4O10,Suprabasal Epithelial
cu01_p2r4O3,Basal Epithelial
cu01_p2r3J10,Basal Epithelial
cu01_p2r4N5,Basal Epithelial
cu01_p2r2F16,Suprabasal Epithelial
cu01_p2r1C15,Terminally Differentiated Epithelial
cu01_p2r2G16,Proliferative Basal Epithelial
cu01_p2r1A21,CD8+ T Cell
cu01_p2r1C17,Proliferative Basal Epithelial
cu01_p2r1A3,Proliferative Basal Epithelial
cu01_p2r3K19,Proliferative Basal Epithelial
cu01_p2r2G17,Proliferative Basal Epithelial
cu01_p2r4N21,Terminally Differentiated Epithelial
cu01_p2r2E19,Suprabasal Epithelial
cu01_p2r3J3,Terminally Differentiated Epithelial
cu01_p2r2H7,Proliferative Basal Epithelial
cu01_p2r1D18,Proliferative Basal Epithelial
cu01_p2r1A18,Basal Epithelial
cu01_p2r3L1,Suprabasal Epithelial
cu01_p2r4M12,Proliferative Basal Epithelial
cu01_p2r2H18,Proliferative Basal Epithelial
cu01_p2r3L11,Basal Epithelial
cu01_p2r4M22,Terminally Differentiated Epithelial
cu01_p2r3J11,Basal Epithelial
cu01_p2r3L9,Proliferative Basal Epithelial
cu01_p2r3I24,CD4+ T Cell
cu01_p2r2E1,Suprabasal Epithelial
cu01_p2r2H24,CD4+ T Cell
cu01_p2r1C13,Basal Epithelial
cu01_p2r1B14,Basal Epithelial
cu01_p2r3L12,Suprabasal Epithelial
cu01_p2r1A4,Suprabasal Epithelial
cu01_p2r3K6,Proliferative Basal Epithelial
cu01_p2r4N2,Basal Epithelial
cu01_p2r1C6,Basal Epithelial
cu01_p2r3K13,Suprabasal Epithelial
cu01_p2r3L17,Basal Epithelial
cu01_p2r3J1,Suprabasal Epithelial
cu01_p2r3J6,Proliferative Basal Epithelial
cu01_p2r4O7,Terminally Differentiated Epithelial
cu01_p2r4N18,Proliferative Basal Epithelial
cu01_p2r2H6,Proliferative Basal Epithelial
cu01_p2r2H10,Basal Epithelial
cu01_p2r2G1,Basal Epithelial
cu01_p2r1D22,CD8+ T Cell
cu01_p2r4O12,Proliferative Basal Epithelial
cu01_p2r2E14,Basal Epithelial
cu01_p2r2G18,Basal Epithelial
cu01_p2r2G20,Proliferative Basal Epithelial
cu01_p2r4O18,Proliferative Basal Epithelial
cu01_p2r2G23,CD8+ T Cell
cu01_p2r1B1,Suprabasal Epithelial
cu01_p2r1C10,Proliferative Basal Epithelial
cu01_p2r1A13,Basal Epithelial
cu01_p2r1C20,Proliferative Basal Epithelial
cu01_p2r3L20,Basal Epithelial
cu01_p2r1D13,Basal Epithelial
cu01_p2r3I23,CD4+ T Cell
cu01_p2r4O11,Suprabasal Epithelial
cu01_p2r3L16,Suprabasal Epithelial
cu01_p2r2H9,Proliferative Basal Epithelial
cu01_p2r4O22,Macrophage
cu01_p2r2F22,CD4+ T Cell
cu01_p2r3I3,Basal Epithelial
cu01_p2r3K2,Suprabasal Epithelial
cu01_p2r2E10,Suprabasal Epithelial
cu01_p2r4O5,Suprabasal Epithelial
cu01_p2r3J24,CD8+ T Cell
cu01_p2r2G2,Suprabasal Epithelial
cu01_p2r4M3,Suprabasal Epithelial
cu01_p2r3L18,Proliferative Basal Epithelial
cu01_p2r3L4,Suprabasal Epithelial
cu01_p2r3K1,Suprabasal Epithelial
cu01_p2r2E9,Terminally Differentiated Epithelial
cu01_p2r1C18,Proliferative Basal Epithelial
cu01_p2r1A2,Suprabasal Epithelial
cu01_p2r1B5,Basal Epithelial
cu01_p2r4N3,Suprabasal Epithelial
cu01_p2r3J2,Suprabasal Epithelial
cu01_p2r4O13,Proliferative Basal Epithelial
cu01_p2r2E24,CD8+ T Cell
cu01_p2r2H3,Basal Epithelial
cu01_p2r3L8,Proliferative Basal Epithelial
cu01_p2r1A12,Basal Epithelial
cu01_p2r4M23,CD8+ T Cell
cu01_p2r1B12,Basal Epithelial
cu01_p2r2E21,CD4+ T Cell
cu01_p2r2H20,Basal Epithelial
cu01_p2r3I8,Proliferative Basal Epithelial
cu01_p2r2H19,Basal Epithelial
cu01_p2r3K9,Proliferative Basal Epithelial
cu01_p2r2G21,CD8+ T Cell
cu01_p2r3L22,CD4+ T Cell
cu01_p2r4M21,Suprabasal Epithelial
cu01_p2r4N10,Basal Epithelial
cu01_p2r3I15,Proliferative Basal Epithelial
cu01_p2r3L6,Basal Epithelial
cu01_p2r1A7,Terminally Differentiated Epithelial
cu01_p2r3L14,Proliferative Basal Epithelial
cu01_p2r3J17,Proliferative Basal Epithelial
cu01_p2r4O8,Proliferative Basal Epithelial
cu01_p2r1D1,Basal Epithelial
cu01_p2r2H14,Terminally Differentiated Epithelial
cu01_p2r1D10,Proliferative Basal Epithelial
cu01_p2r2F7,Terminally Differentiated Epithelial
cu01_p2r2G22,CD8+ T Cell
cu01_p2r3I20,Proliferative Basal Epithelial
cu01_p2r4M13,Proliferative Basal Epithelial
cu01_p2r1B13,Proliferative Basal Epithelial
cu01_p2r3K17,Suprabasal Epithelial
cu01_p2r1C24,Macrophage
cu01_p2r2F10,Suprabasal Epithelial
cu01_p2r3K15,Basal Epithelial
cu01_p2r3J13,Proliferative Basal Epithelial
cu01_p2r2H15,Proliferative Basal Epithelial
cu01_p2r1B20,Proliferative Basal Epithelial
cu01_p2r1A20,Proliferative Basal Epithelial
cu01_p2r3J15,Proliferative Basal Epithelial
cu01_p2r4N15,Proliferative Basal Epithelial
cu01_p2r1D11,Basal Epithelial
cu01_p2r1B23,CD4+ T Cell
cu01_p2r4M15,Proliferative Basal Epithelial
cu01_p2r1B16,Basal Epithelial
cu01_p2r2F20,Suprabasal Epithelial
cu01_p2r3I5,Basal Epithelial
cu01_p2r3L5,Suprabasal Epithelial
cu01_p2r3J16,Basal Epithelial
cu01_p2r3K8,Basal Epithelial
cu01_p2r2E5,Proliferative Basal Epithelial
cu01_p2r2H16,Suprabasal Epithelial
cu01_p2r3L2,Suprabasal Epithelial
cu01_p2r1A22,CD4+ T Cell
cu01_p2r3L7,Proliferative Basal Epithelial
cu01_p2r3I19,Suprabasal Epithelial
cu01_p2r3K4,Basal Epithelial
cu01_p2r4N22,CD4+ T Cell
cu01_p2r4O9,Suprabasal Epithelial
cu01_p2r2G5,Suprabasal Epithelial
cu01_p2r3J22,CD8+ T Cell
cu01_p2r4O23,CD8+ T Cell
cu01_p2r3I7,Terminally Differentiated Epithelial
cu01_p2r2E3,Suprabasal Epithelial
cu01_p2r1D21,CD4+ T Cell
cu01_p2r1A19,Suprabasal Epithelial
cu01_p2r1B2,Proliferative Basal Epithelial
cu01_p2r3I14,Proliferative Basal Epithelial
cu01_p2r1C14,Basal Epithelial
cu01_p2r1D8,Terminally Differentiated Epithelial
cu01_p2r2F13,Proliferative Basal Epithelial
cu01_p2r1D15,Suprabasal Epithelial
cu01_p2r1C16,Proliferative Basal Epithelial
cu01_p2r2E7,Proliferative Basal Epithelial
cu01_p2r1D23,CD4+ T Cell
cu01_p2r1A15,Suprabasal Epithelial
cu01_p2r3L23,CD8+ T Cell
cu01_p2r1B7,Basal Epithelial
cu01_p2r1A11,Basal Epithelial
cu01_p2r3L21,Proliferative Basal Epithelial
cu01_p2r4N6,Basal Epithelial
cu01_p2r1A16,Basal Epithelial
cu01_p2r1B19,Suprabasal Epithelial
cu01_p2r2H13,Basal Epithelial
cu01_p2r3I9,Suprabasal Epithelial
cu01_p2r1C12,Suprabasal Epithelial
cu01_p2r3K11,Proliferative Basal Epithelial
cu01_p2r2G8,Proliferative Basal Epithelial
cu01_p2r3K7,Proliferative Basal Epithelial
cu01_p2r1D9,Proliferative Basal Epithelial
cu01_p2r1A24,CD8+ T Cell
cu01_p2r1D16,Suprabasal Epithelial
cu01_p2r3L15,Basal Epithelial
cu01_p2r2H23,Macrophage
cu01_p2r2E12,Proliferative Basal Epithelial
cu01_p2r3I17,Basal Epithelial
cu01_p2r4N17,Suprabasal Epithelial
cu01_p2r2F11,Basal Epithelial
cu01_p2r4O19,Proliferative Basal Epithelial
cu01_p2r1D12,Basal Epithelial
cu01_p2r4M9,Proliferative Basal Epithelial
cu01_p2r2F19,Suprabasal Epithelial
cu01_p2r4N13,Suprabasal Epithelial
cu01_p2r2E18,Suprabasal Epithelial
cu01_p2r2E6,Suprabasal Epithelial
cu01_p2r1D20,Proliferative Basal Epithelial
cu01_p2r2H21,Mast Cell
cu01_p2r3J20,Suprabasal Epithelial
cu01_p2r4O17,Proliferative Basal Epithelial
cu01_p2r1D2,Basal Epithelial
cu01_p2r2E16,Proliferative Basal Epithelial
cu01_p2r4M14,Basal Epithelial
cu01_p2r2H2,Basal Epithelial
cu01_p2r4M11,Proliferative Basal Epithelial
cu01_p2r2E11,Proliferative Basal Epithelial
cu01_p2r2F23,CD8+ T Cell
cu01_p2r3I6,Terminally Differentiated Epithelial
cu01_p2r1C1,Basal Epithelial
cu01_p2r1C21,CD4+ T Cell
cu01_p2r4N9,Proliferative Basal Epithelial
cu01_p2r1D14,Basal Epithelial
cu01_p2r3K3,Suprabasal Epithelial
cu01_p2r4O15,Suprabasal Epithelial
cu01_p2r4O21,Basal Epithelial
cu01_p2r4M5,Basal Epithelial
cu01_p2r1A17,Suprabasal Epithelial
cu01_p2r3K22,CD8+ T Cell
cu01_p2r3J9,Proliferative Basal Epithelial
cu01_p2r4O20,Proliferative Basal Epithelial
cu01_p2r1B10,Proliferative Basal Epithelial
cu01_p2r2E20,Basal Epithelial
cu01_p2r3K10,Suprabasal Epithelial
cu01_p2r3I21,CD8+ T Cell
cu01_p2r2G11,Proliferative Basal Epithelial
cu01_p2r4N16,Suprabasal Epithelial
cu01_p2r1A8,Suprabasal Epithelial
cu01_p2r4N20,Proliferative Basal Epithelial
cu01_p2r3L3,Basal Epithelial
cu01_p2r1D6,Proliferative Basal Epithelial
cu01_p2r4M2,Suprabasal Epithelial
cu01_p2r2F2,Basal Epithelial
cu01_p2r1C19,Basal Epithelial
cu01_p2r1B11,Suprabasal Epithelial
cu01_p2r2H11,Proliferative Basal Epithelial
cu01_p2r3J5,Basal Epithelial
cu01_p2r4N23,CD8+ T Cell
cu01_p2r3I2,Basal Epithelial
cu01_p2r1C8,Proliferative Basal Epithelial
cu01_p2r1B24,CD8+ T Cell
cu01_p2r4M18,Basal Epithelial
cu01_p2r2F15,Basal Epithelial
cu01_p2r1D4,Proliferative Basal Epithelial
cu01_p2r3J18,Proliferative Basal Epithelial
cu01_p2r3J8,Proliferative Basal Epithelial
cu01_p2r2E2,Basal Epithelial
cu01_p2r1D17,Proliferative Basal Epithelial
cu01_p2r1B3,Suprabasal Epithelial
cu01_p2r1A23,Macrophage
cu01_p2r2F3,Proliferative Basal Epithelial
cu01_p2r4O2,Terminally Differentiated Epithelial
cu01_p2r1C23,CD8+ T Cell
cu01_p2r1B17,Proliferative Basal Epithelial
cu01_p2r4M17,Suprabasal Epithelial
cu01_p2r3K23,CD4+ T Cell
cu01_p2r3K14,Basal Epithelial
cu01_p2r1B22,CD4+ T Cell
cu01_p2r4M6,Basal Epithelial
cu01_p2r2F6,Proliferative Basal Epithelial
cu01_p2r2H1,Basal Epithelial
cu01_p2r3I1,Proliferative Basal Epithelial
cu01_p2r3J4,Suprabasal Epithelial
cu01_p2r4N11,Proliferative Basal Epithelial
cu01_p2r2G15,Basal Epithelial
cu01_p2r3J12,Basal Epithelial
cu01_p2r2G7,Suprabasal Epithelial
cu02_p1r2G3,Basal Epithelial
cu02_p1r4O2,Suprabasal Epithelial
cu02_p1r2G11,Proliferative Basal Epithelial
cu02_p1r3J23,CD8+ T Cell
cu02_p1r4M6,Suprabasal Epithelial
