,0,1
cu02_p1r4M12,25.207216,-2.6376717
cu01_p2r3L13,26.555101,-4.642933
cu01_p2r3L4,23.90178,-1.9081112
cu02_p3r2H12,25.0732,-0.1707146
cu01_p2r2E9,23.894815,-2.7291627
cu02_p1r2F8,24.404814,-0.77853495
eso29_p2D7,21.875502,-7.405299
cu01_p2r1A17,26.152561,-3.8604817
cu03_p3r3I7,24.846867,-2.9032269
cu03_p3r2G12,23.4274,-8.06831
cu02_p3r2E16,26.86926,-5.5421376
cu03_p2r3I4,25.852802,-8.108303
cu01_p1r2H21,21.107954,-5.284525
cu02_p3r4N12,24.56314,-2.9074838
cu02_p3r4N13,22.423624,-9.364156
cu02_p1r3L13,27.410072,-7.654655
cu03_p3r1A5,25.327263,-7.254821
cu01_p1r3I6,21.390059,-8.4571705
cu02_p1r4N17,24.253353,-0.18169312
cu03_p4r4O18,22.187916,-3.809601
cu03_p2r2E23,15.279781,-1.5830604
cu01_p2r3I23,15.165853,-1.8078481
cu02_p2r2H12,24.930763,-3.8387835
cu02_p2r1A13,20.031378,-8.903478
cu01_p1r1B15,24.547886,-1.8550642
cu03_p3r4M11,23.765476,-0.2824451
cu01_p1r2H22,25.735464,-8.626569
eso29_p2D3,22.187647,-7.249823
eso29_p2C1,26.754725,-5.575162
cu01_p2r1D2,21.7966,-7.750322
cu01_p2r1D17,25.41381,-9.347755
cu01_p2r4N2,22.066193,-7.7933216
cu03_p2r4N1,22.906513,-3.6708624
cu01_p1r3J10,19.936283,-7.2898917
cu03_p4r4N21,20.77668,-5.470295
cu03_p3r2E7,23.485428,-3.1934845
cu02_p3r1A19,24.787212,-8.230386
cu02_p3r4O16,26.933212,-4.73476
cu01_p1r1C20,26.452734,-5.7343736
cu03_p1r3I5,25.00932,-0.69340295
cu02_p3r1A2,26.09902,-5.033963
eso29_p1F4,21.2238,-7.8609934
cu01_p2r2E5,23.993845,-7.9211717
eso29_p2A3,21.242134,-8.088865
cu02_p1r1B11,23.204977,-7.463442
cu01_p2r4N14,25.663807,-8.310175
cu02_p1r1A15,27.069715,-6.974095
cu02_p2r1D9,24.753368,-3.633606
